"Bay","Project","Site","Period","Wt_sum","Spat_sum","Num_quads","Roundwt"
"Apalachicola","GEBF-5007","Peanut Ridge",7,121.55,707,30,122
"Apalachicola","GEBF-5007","Peanut Ridge",9,150.46,1471,30,150
"Apalachicola","NFWF-1","Bulkhead",2,308.65,69318,151,309
"Apalachicola","NFWF-1","Bulkhead",3,252.85,4419,150,253
"Apalachicola","NFWF-1","Bulkhead",4,235.44,36381,151,235
"Apalachicola","NFWF-1","Bulkhead",5,228.05,16339,150,228
"Apalachicola","NFWF-1","Bulkhead",6,177.1,25151,150,177
"Apalachicola","NFWF-1","Bulkhead",7,169.15,9088,150,169
"Apalachicola","NFWF-1","Bulkhead",8,90.5,1750,150,90
"Apalachicola","NFWF-1","Bulkhead",9,95.5,1295,150,96
"Apalachicola","NFWF-1","Dry Bar",2,214,30430,150,214
"Apalachicola","NFWF-1","Dry Bar",3,261.17,2062,150,261
"Apalachicola","NFWF-1","Dry Bar",4,237,3632,150,237
"Apalachicola","NFWF-1","Dry Bar",5,245.25,427,150,245
"Apalachicola","NFWF-1","Dry Bar",6,221.05,2278,150,221
"Apalachicola","NFWF-1","Dry Bar",7,200,173,150,200
"Apalachicola","NFWF-1","Dry Bar",8,111.65,196,150,112
"Apalachicola","NFWF-1","Dry Bar",9,145.05,137,150,145
"Apalachicola","NFWF-1","Hotel Bar",2,322.5,78459,149,322
"Apalachicola","NFWF-1","Hotel Bar",3,429.63,9816,150,430
"Apalachicola","NFWF-1","Hotel Bar",4,187.55,35779,151,188
"Apalachicola","NFWF-1","Hotel Bar",5,269.4,9631,150,269
"Apalachicola","NFWF-1","Hotel Bar",6,246.35,13505,150,246
"Apalachicola","NFWF-1","Hotel Bar",7,192.9,2491,150,193
"Apalachicola","NFWF-1","Hotel Bar",8,138.85,2918,150,139
"Apalachicola","NFWF-1","Hotel Bar",9,161.25,221,150,161
"Apalachicola","NFWF-2021","Cat Point",13,240.14,10159,30,240
"Apalachicola","NFWF-2021","Cat Point",14,202.03,13145,30,202
"Apalachicola","NFWF-2021","Cat Point",15,97.81,1012,15,98
"Apalachicola","NFWF-2021","East Lumps",13,193.59,24331,30,194
"Apalachicola","NFWF-2021","East Lumps",14,266.44,30327,30,266
"Apalachicola","NFWF-2021","East Lumps",15,129.1,1034,15,129
"Apalachicola","NFWF-2021","Lighthouse Bar",13,169.02,8650,30,169
"Apalachicola","NFWF-2021","Lighthouse Bar",14,306.54,15675,30,307
"Apalachicola","NFWF-2021","Lighthouse Bar",15,137.58,747,15,138
"Apalachicola","NRDA-4044","Bayou Flats",10,42.4,57,15,42
"Apalachicola","NRDA-4044","Bayou Flats",13,40.92,16,14,41
"Apalachicola","NRDA-4044","Bayou Flats",5,71.98,0,15,72
"Apalachicola","NRDA-4044","Bayou Flats",6,14.13,0,15,14
"Apalachicola","NRDA-4044","Cabbage Lumps",13,35.51,17,15,36
"Apalachicola","NRDA-4044","Cabbage Lumps",5,26.9,76,15,27
"Apalachicola","NRDA-4044","Cabbage Lumps",6,27.05,157,15,27
"Apalachicola","NRDA-4044","Cabbage Lumps",9,24.95,8,15,25
"Apalachicola","NRDA-4044","Cabbage Top",13,4.54,24,30,5
"Apalachicola","NRDA-4044","Cabbage Top",5,31.64,33,30,32
"Apalachicola","NRDA-4044","Cabbage Top",7,23.1,25,30,23
"Apalachicola","NRDA-4044","Cabbage Top",9,16.51,6,30,17
"Apalachicola","NRDA-4044","Cat Point",10,34.95,73,30,35
"Apalachicola","NRDA-4044","Cat Point",14,11.54,373,30,12
"Apalachicola","NRDA-4044","Cat Point",5,64.37,466,30,64
"Apalachicola","NRDA-4044","Cat Point",6,65.29,1519,30,65
"Apalachicola","NRDA-4044","Dry Bar",10,54.83,54,60,55
"Apalachicola","NRDA-4044","Dry Bar",13,52.49,239,45,52
"Apalachicola","NRDA-4044","Dry Bar",14,38.92,5,15,39
"Apalachicola","NRDA-4044","Dry Bar",3,14.76,32,5,15
"Apalachicola","NRDA-4044","Dry Bar",5,139.86,334,55,140
"Apalachicola","NRDA-4044","Dry Bar",6,68.88,40,45,69
"Apalachicola","NRDA-4044","Dry Bar",7,36.5,7,15,36
"Apalachicola","NRDA-4044","Eleven Mile",10,65.5,107,30,66
"Apalachicola","NRDA-4044","Eleven Mile",13,73.5,24,30,74
"Apalachicola","NRDA-4044","Eleven Mile",5,106.78,2,30,107
"Apalachicola","NRDA-4044","Eleven Mile",6,69.9,2,30,70
"Apalachicola","NRDA-4044","Green Point",13,42.11,120,15,42
"Apalachicola","NRDA-4044","Green Point",5,9.74,3,15,10
"Apalachicola","NRDA-4044","Green Point",6,31.55,37,15,32
"Apalachicola","NRDA-4044","Green Point",9,19.22,0,15,19
"Apalachicola","NRDA-4044","Hotel Bar",10,75.45,257,45,75
"Apalachicola","NRDA-4044","Hotel Bar",13,44.36,211,45,44
"Apalachicola","NRDA-4044","Hotel Bar",5,75.91,1971,45,76
"Apalachicola","NRDA-4044","Hotel Bar",6,91.57,2722,45,92
"Apalachicola","NRDA-4044","Lighthouse Bar",10,61.15,91,30,61
"Apalachicola","NRDA-4044","Lighthouse Bar",13,43.04,329,30,43
"Apalachicola","NRDA-4044","Lighthouse Bar",5,69.3,1022,30,69
"Apalachicola","NRDA-4044","Lighthouse Bar",6,74.51,2483,30,75
"Apalachicola","NRDA-4044","Little Gully",10,36.19,54,30,36
"Apalachicola","NRDA-4044","Little Gully",13,45.68,443,30,46
"Apalachicola","NRDA-4044","Little Gully",5,70.51,37,30,71
"Apalachicola","NRDA-4044","Little Gully",7,48.84,7,30,49
"Apalachicola","NRDA-4044","Normans Bar",10,98.87,550,60,99
"Apalachicola","NRDA-4044","Normans Bar",14,105.83,772,60,106
"Apalachicola","NRDA-4044","Normans Bar",5,138.24,683,60,138
"Apalachicola","NRDA-4044","Normans Bar",6,178.56,827,60,179
"Apalachicola","NRDA-4044","North Spur",13,21.24,106,15,21
"Apalachicola","NRDA-4044","North Spur",5,18.53,2,15,19
"Apalachicola","NRDA-4044","North Spur",6,32.55,12,15,33
"Apalachicola","NRDA-4044","North Spur",9,37.82,0,15,38
"Apalachicola","NRDA-4044","Redfish Creek",10,83.94,409,45,84
"Apalachicola","NRDA-4044","Redfish Creek",13,72.32,50,45,72
"Apalachicola","NRDA-4044","Redfish Creek",5,164.98,255,45,165
"Apalachicola","NRDA-4044","Redfish Creek",6,88.39,168,45,88
