"Bay","Period","Site","Num_quads","Sum_spat","Sum_seed","Sum_legal"
"St. Andrew",5,"East Power Lines",15,21,0,0
"St. Andrew",5,"Goose Point",15,62,138,4
"St. Andrew",5,"Little Oyster Bar Point",12,68,14,0
"St. Andrew",5,"Newman Bayou Bar",15,32,17,4
"St. Andrew",5,"Off Little Oyster Bar Ridge",15,70,17,0
"St. Andrew",5,"South Channel Ridge",15,361,231,25
"St. Andrew",5,"West Bay Point",30,3318,260,4
"St. Andrew",7,"Crooked Creek Point",15,269,153,7
"St. Andrew",7,"Doyle Bayou",30,683,281,0
"St. Andrew",7,"East Power Lines",15,2001,340,13
"St. Andrew",7,"Goose Point",15,1132,550,17
"St. Andrew",7,"Little Oyster Bar Point",15,941,857,6
"St. Andrew",7,"Newman Bayou Bar",15,186,116,8
"St. Andrew",7,"Off Little Oyster Bar Ridge",15,930,1640,57
"St. Andrew",7,"South Channel Ridge",15,1465,478,11
"St. Andrew",7,"West Bay Point",30,3707,213,0
