"Period","Project","Site","Sum_spat","Num_quads","Sum_Seed","Sum_legal","CPUE_Spat","CPUE_Seed","CPUE_Legal","Lowdays_12","lag1","Lowdays_6","lag1_6"
6,"NRDA-4044","Bayou Flats",0,15,0,0,0,0,0,116,76,0,3
7,"NRDA-4044","Cabbage Top",25,30,12,5,0.833333333333333,0.4,0.166666666666667,48,116,0,0
7,"GEBF-5007","Peanut Ridge",707,30,388,0,23.5666666666667,12.9333333333333,0,48,116,0,0
7,"GEBF-5007","Cabbage Top",201,15,260,0,13.4,17.3333333333333,0,48,116,0,0
7,"GEBF-5007","8 Mile",0,30,17,0,0,0.566666666666667,0,48,116,0,0
7,"GEBF-5007","9 Mile B",29,5,0,0,5.8,0,0,48,116,0,0
7,"GEBF-5007","Bulkhead",619,15,648,0,41.2666666666667,43.2,0,48,116,0,0
7,"GEBF-5007","Hotel Bar",3983,45,36,0,88.5111111111111,0.8,0,48,116,0,0
7,"GEBF-5007","Cat Point",978,45,515,0,21.7333333333333,11.4444444444444,0,48,116,0,0
7,"GEBF-5007","Cat Point Spur",2486,30,280,0,82.8666666666667,9.33333333333333,0,48,116,0,0
7,"GEBF-5007","East Hole",5286,90,357,0,58.7333333333333,3.96666666666667,0,48,116,0,0
7,"GEBF-5007","North Spur",1247,30,229,0,41.5666666666667,7.63333333333333,0,48,116,0,0
7,"NRDA-4044","Little Gully",7,30,0,0,0.233333333333333,0,0,48,116,0,0
7,"NFWF-1","Bulkhead",8995,120,82,0,74.9583333333333,0.683333333333333,0,48,116,0,0
7,"NFWF-1","Dry Bar",162,120,0,0,1.35,0,0,48,116,0,0
7,"NFWF-1","Hotel Bar",2464,120,17,0,20.5333333333333,0.141666666666667,0,48,116,0,0
7,"GEBF-5007","King 9 Mile",0,15,0,0,0,0,0,48,116,0,0
7,"GEBF-5007","Monkeys Elbow",1037,30,508,0,34.5666666666667,16.9333333333333,0,48,116,0,0
7,"NRDA-4044","Dry Bar",7,15,0,0,0.466666666666667,0,0,48,116,0,0
8,"NFWF-1","Bulkhead",1714,120,0,0,14.2833333333333,0,0,19,48,0,0
8,"NFWF-1","Dry Bar",169,120,0,0,1.40833333333333,0,0,19,48,0,0
8,"NFWF-1","Hotel Bar",2825,120,0,0,23.5416666666667,0,0,19,48,0,0
9,"GEBF-5007","8 Mile",28,30,145,0,0.933333333333333,4.83333333333333,0,104,19,3,0
9,"GEBF-5007","Cat Point Spur",2176,30,1626,5,72.5333333333333,54.2,0.166666666666667,104,19,3,0
9,"GEBF-5007","Cat Point",1933,45,946,2,42.9555555555556,21.0222222222222,0.0444444444444444,104,19,3,0
9,"GEBF-5007","Monkeys Elbow",1409,30,852,0,46.9666666666667,28.4,0,104,19,3,0
9,"GEBF-5007","East Hole",2527,90,930,0,28.0777777777778,10.3333333333333,0,104,19,3,0
9,"GEBF-5007","King 9 Mile",19,15,28,0,1.26666666666667,1.86666666666667,0,104,19,3,0
9,"NRDA-4044","Cabbage Lumps",8,15,1,0,0.533333333333333,0.0666666666666667,0,104,19,3,0
9,"GEBF-5007","9 Mile B",0,25,0,0,0,0,0,104,19,3,0
9,"GEBF-5007","Hotel Bar",1854,45,1773,0,41.2,39.4,0,104,19,3,0
9,"NFWF-1","Bulkhead",1289,120,5,0,10.7416666666667,0.0416666666666667,0,104,19,3,0
9,"NFWF-1","Dry Bar",131,120,0,0,1.09166666666667,0,0,104,19,3,0
9,"NRDA-4044","Cabbage Top",6,30,3,0,0.2,0.1,0,104,19,3,0
9,"NRDA-4044","Green Point",0,15,0,0,0,0,0,104,19,3,0
9,"GEBF-5007","Peanut Ridge",1471,30,772,0,49.0333333333333,25.7333333333333,0,104,19,3,0
9,"GEBF-5007","Cabbage Top",167,15,1259,0,11.1333333333333,83.9333333333333,0,104,19,3,0
9,"NFWF-1","Hotel Bar",203,120,0,0,1.69166666666667,0,0,104,19,3,0
9,"GEBF-5007","North Spur",146,30,14,0,4.86666666666667,0.466666666666667,0,104,19,3,0
9,"GEBF-5007","Bulkhead",749,15,686,0,49.9333333333333,45.7333333333333,0,104,19,3,0
9,"NRDA-4044","North Spur",0,15,0,0,0,0,0,104,19,3,0
10,"NRDA-4044","Dry Bar",54,60,1,0,0.9,0.0166666666666667,0,77,104,10,3
10,"NRDA-4044","Eleven Mile",107,30,11,0,3.56666666666667,0.366666666666667,0,77,104,10,3
10,"NRDA-4044","Hotel Bar",257,45,1,0,5.71111111111111,0.0222222222222222,0,77,104,10,3
10,"NRDA-4044","Lighthouse Bar",91,30,3,0,3.03333333333333,0.1,0,77,104,10,3
10,"NRDA-4044","Little Gully",54,30,0,0,1.8,0,0,77,104,10,3
10,"NRDA-4044","Normans Bar",550,60,108,2,9.16666666666667,1.8,0.0333333333333333,77,104,10,3
10,"NRDA-4044","Redfish Creek",409,45,58,0,9.08888888888889,1.28888888888889,0,77,104,10,3
10,"NRDA-4044","Bayou Flats",57,15,0,0,3.8,0,0,77,104,10,3
10,"NRDA-4044","Cat Point",73,30,25,0,2.43333333333333,0.833333333333333,0,77,104,10,3
12,"GEBF-5007","Cabbage Top",454,15,509,7,30.2666666666667,33.9333333333333,0.466666666666667,1,37,0,0
12,"GEBF-5007","Hotel Bar",4132,45,2389,8,91.8222222222222,53.0888888888889,0.177777777777778,1,37,0,0
12,"GEBF-5007","North Spur",445,30,346,0,14.8333333333333,11.5333333333333,0,1,37,0,0
13,"GEBF-5007","8 Mile",68,30,647,73,2.26666666666667,21.5666666666667,2.43333333333333,9,1,0,0
13,"GEBF-5007","9 Mile B",0,15,4,1,0,0.266666666666667,0.0666666666666667,9,1,0,0
13,"GEBF-5007","Bulkhead",114,15,809,136,7.6,53.9333333333333,9.06666666666667,9,1,0,0
13,"GEBF-5007","Cat Point",1159,45,1200,61,25.7555555555556,26.6666666666667,1.35555555555556,9,1,0,0
13,"GEBF-5007","Cat Point Spur",912,30,1732,184,30.4,57.7333333333333,6.13333333333333,9,1,0,0
13,"GEBF-5007","East Hole",1483,90,1403,27,16.4777777777778,15.5888888888889,0.3,9,1,0,0
13,"GEBF-5007","King 9 Mile",39,15,216,17,2.6,14.4,1.13333333333333,9,1,0,0
13,"GEBF-5007","Monkeys Elbow",128,30,785,119,4.26666666666667,26.1666666666667,3.96666666666667,9,1,0,0
13,"GEBF-5007","Peanut Ridge",563,30,786,168,18.7666666666667,26.2,5.6,9,1,0,0
13,"NRDA-4044","Bayou Flats",16,15,15,5,1.06666666666667,1,0.333333333333333,9,1,0,0
13,"NRDA-4044","Cabbage Lumps",17,15,10,3,1.13333333333333,0.666666666666667,0.2,9,1,0,0
13,"NRDA-4044","Cabbage Top",24,30,1,0,0.8,0.0333333333333333,0,9,1,0,0
13,"NRDA-4044","Dry Bar",239,45,0,0,5.31111111111111,0,0,9,1,0,0
13,"NRDA-4044","Eleven Mile",24,30,23,5,0.8,0.766666666666667,0.166666666666667,9,1,0,0
13,"NRDA-4044","Green Point",120,15,2,0,8,0.133333333333333,0,9,1,0,0
13,"NRDA-4044","Hotel Bar",211,45,2,0,4.68888888888889,0.0444444444444444,0,9,1,0,0
13,"NRDA-4044","Lighthouse Bar",329,30,85,7,10.9666666666667,2.83333333333333,0.233333333333333,9,1,0,0
13,"NFWF-2021","Cat Point",10159,30,86,1,338.633333333333,2.86666666666667,0.0333333333333333,9,1,0,0
13,"NFWF-2021","East Lumps",24331,30,208,5,811.033333333333,6.93333333333333,0.166666666666667,9,1,0,0
13,"NFWF-2021","Lighthouse Bar",8650,30,73,0,288.333333333333,2.43333333333333,0,9,1,0,0
13,"NRDA-4044","Redfish Creek",50,45,24,3,1.11111111111111,0.533333333333333,0.0666666666666667,9,1,0,0
13,"NRDA-4044","Little Gully",443,30,9,0,14.7666666666667,0.3,0,9,1,0,0
13,"NRDA-4044","North Spur",106,15,5,0,7.06666666666667,0.333333333333333,0,9,1,0,0
14,"NRDA-4044","Normans Bar",772,60,235,13,12.8666666666667,3.91666666666667,0.216666666666667,6,9,0,0
14,"NRDA-4044","Dry Bar",5,15,0,0,0.333333333333333,0,0,6,9,0,0
14,"NFWF-2021","Cat Point",13145,30,2960,0,438.166666666667,98.6666666666667,0,6,9,0,0
14,"NFWF-2021","East Lumps",30327,30,6839,10,1010.9,227.966666666667,0.333333333333333,6,9,0,0
14,"NRDA-4044","Cat Point",373,30,34,2,12.4333333333333,1.13333333333333,0.0666666666666667,6,9,0,0
14,"NFWF-2021","Lighthouse Bar",15675,30,3531,0,522.5,117.7,0,6,9,0,0
15,"NFWF-2021","Cat Point",1012,15,1679,0,67.4666666666667,111.933333333333,0,74,6,0,0
15,"NFWF-2021","East Lumps",1034,15,1717,0,68.9333333333333,114.466666666667,0,74,6,0,0
15,"NFWF-2021","Lighthouse Bar",747,15,1244,0,49.8,82.9333333333333,0,74,6,0,0
